"","time","Infaltion CPI_Denmark","Infaltion CPI_Germany","Infaltion CPI_Spain","Infaltion CPI_France","Infaltion CPI_Italy","Infaltion CPI_Netherlands","Infaltion CPI_Finland","Infaltion CPI_Sweden","Change in energy price_Denmark","Change in energy price_Germany","Change in energy price_Spain","Change in energy price_France","Change in energy price_Italy","Change in energy price_Netherlands","Change in energy price_Finland","Change in energy price_Sweden","Change in food price_Denmark","Change in food price_Germany","Change in food price_Spain","Change in food price_France","Change in food price_Italy","Change in food price_Netherlands","Change in food price_Finland","Change in food price_Sweden","Unemployment data_Denmark","Unemployment data_Germany","Unemployment data_Spain","Unemployment data_France","Unemployment data_Italy","Unemployment data_Netherlands","Unemployment data_Finland","Unemployment data_Sweden"
"1",1997-01-01,2.4,1.9,2.8,1.8,2.7,1.7,0.9,1.4,6.2,5.4,4.6,5.7,1.7,8.6,3.8,6.2,3.6,1.6,1.3,2.8,1.9,2.3,1,0.6,5.6,9.5,18.8,10.9,11.2,7,13.5,10
"2",1997-02-01,2.1,1.6,2.5,1.7,2.4,1.4,0.6,1.1,5.5,4.3,4.7,4.9,2,8.3,2.3,6.1,3.5,0.9,0.6,1.6,1.3,0.5,0,0.3,5.5,9.5,18.7,10.9,11.3,6.9,13.4,10.4
"3",1997-03-01,1.8,1.3,2.2,1.1,2.2,1.2,0.7,1,3.6,3.5,3.6,3.6,1.8,7.4,2.6,5.4,2.6,-0.4,-0.1,0.2,0.7,-2.1,-0.4,-1.7,5.3,9.6,18.6,10.9,11.3,6.8,13.3,10.4
"4",1997-04-01,1.7,1.2,1.6,1,1.9,1,0.9,1.2,0.9,2.1,1.4,2,0.5,5.3,1.5,3.4,3.2,-0.1,-1.2,0.5,0.1,-2.3,-0.4,-1,5.2,9.7,18.6,11,11.4,6.7,13.2,10.2
"5",1997-05-01,2.1,1.5,1.3,0.9,1.9,1.6,0.9,1.2,2.1,2.3,1.1,1.3,0.8,6.2,1,3.3,4.2,0.9,-1.9,0.3,-0.7,0.6,-0.1,-0.3,5.3,9.7,18.7,10.9,11.4,6.6,13,10.2
"6",1997-06-01,2.4,1.5,1.4,1,1.6,1.5,1.1,1.6,2.9,3,2,1.7,1.2,7,1.8,5.1,4.7,1.4,-1.8,0.8,-1.3,1,-1.1,0.3,5.2,9.7,18.8,10.9,11.4,6.5,12.7,10.5
"7",1997-07-01,2,1.6,1.5,1.1,1.7,1.9,1.1,1.5,1.8,3,1.7,1.5,3.6,9,1.4,6.3,3,0.8,-2,1.4,-1.3,1,-0.3,-0.7,5.2,9.7,18.6,10.9,11,6.4,12.5,10.1
"8",1997-08-01,2.1,1.7,1.7,1.6,1.6,2.5,1.7,2.1,5.4,4.5,3.8,2.6,3.6,10.9,4.1,8.5,2.1,0.9,-1.9,2.7,-1.3,2.8,0.4,0.1,5.2,9.7,18.3,10.9,11,6.3,12.3,9.6
"9",1997-09-01,1.8,1.4,1.9,1.4,1.6,2.5,1.6,2.6,2.8,2.3,2.8,1.3,2.7,9.6,2.6,4.5,2.3,1.7,-1,2.8,-1,2.5,0.7,1.3,5.1,9.7,18.3,10.9,11,6.2,12.2,9.5
"10",1997-10-01,1.7,1.5,1.8,1.1,1.9,2.3,1.7,2.7,1.4,1.5,1.5,0,2.4,8.8,0.5,3.4,1.7,1.9,-1,2.9,-0.7,2.2,1.7,1.4,5.1,9.7,18,10.9,11.3,6.1,12.1,9.4
