"","time","Current account_Denmark","Current account_Finland","Current account_France","Current account_Germany","Current account_Italy","Current account_Netherlands","Current account_Spain","Current account_Sweden","Direct investment_Denmark","Direct investment_Finland","Direct investment_France","Direct investment_Germany","Direct investment_Italy","Direct investment_Netherlands","Direct investment_Spain","Direct investment_Sweden","Employees Compensation_Denmark","Employees Compensation_Finland","Employees Compensation_France","Employees Compensation_Germany","Employees Compensation_Italy","Employees Compensation_Netherlands","Employees Compensation_Spain","Employees Compensation_Sweden","Totlat employment_Denmark","Totlat employment_Finland","Totlat employment_France","Totlat employment_Germany","Totlat employment_Italy","Totlat employment_Netherlands","Totlat employment_Spain","Totlat employment_Sweden","Final consumption expenditure households_Denmark","Final consumption expenditure households_Finland","Final consumption expenditure households_France","Final consumption expenditure households_Germany","Final consumption expenditure households_Italy","Final consumption expenditure households_Netherlands","Final consumption expenditure households_Spain","Final consumption expenditure households_Sweden","Change in GDP_Denmark","Change in GDP_Finland","Change in GDP_France","Change in GDP_Germany","Change in GDP_Italy","Change in GDP_Netherlands","Change in GDP_Spain","Change in GDP_Sweden","Gross fixed capital formation_Denmark","Gross fixed capital formation_Finland","Gross fixed capital formation_France","Gross fixed capital formation_Germany","Gross fixed capital formation_Italy","Gross fixed capital formation_Netherlands","Gross fixed capital formation_Spain","Gross fixed capital formation_Sweden","Government debt to gdp_Denmark","Government debt to gdp_Finland","Government debt to gdp_France","Government debt to gdp_Germany","Government debt to gdp_Italy","Government debt to gdp_Netherlands","Government debt to gdp_Spain","Government debt to gdp_Sweden","Government expenditure_Denmark","Government expenditure_Finland","Government expenditure_France","Government expenditure_Germany","Government expenditure_Italy","Government expenditure_Netherlands","Government expenditure_Spain","Government expenditure_Sweden","Change in Housing prices_Denmark","Change in Housing prices_Finland","Change in Housing prices_France","Change in Housing prices_Germany","Change in Housing prices_Italy","Change in Housing prices_Netherlands","Change in Housing prices_Spain","Change in Housing prices_Sweden","Labour productivity_Denmark","Labour productivity_Finland","Labour productivity_France","Labour productivity_Germany","Labour productivity_Italy","Labour productivity_Netherlands","Labour productivity_Spain","Labour productivity_Sweden","Net international investment_Denmark","Net international investment_Finland","Net international investment_France","Net international investment_Germany","Net international investment_Italy","Net international investment_Netherlands","Net international investment_Spain","Net international investment_Sweden","Nominal unit labour cost_Denmark","Nominal unit labour cost_Finland","Nominal unit labour cost_France","Nominal unit labour cost_Germany","Nominal unit labour cost_Italy","Nominal unit labour cost_Netherlands","Nominal unit labour cost_Spain","Nominal unit labour cost_Sweden","Infaltion CPI_Denmark","Infaltion CPI_Finland","Infaltion CPI_France","Infaltion CPI_Germany","Infaltion CPI_Italy","Infaltion CPI_Netherlands","Infaltion CPI_Spain","Infaltion CPI_Sweden","Change in energy price_Denmark","Change in energy price_Finland","Change in energy price_France","Change in energy price_Germany","Change in energy price_Italy","Change in energy price_Netherlands","Change in energy price_Spain","Change in energy price_Sweden","Change in food price_Denmark","Change in food price_Finland","Change in food price_France","Change in food price_Germany","Change in food price_Italy","Change in food price_Netherlands","Change in food price_Spain","Change in food price_Sweden","Unemployment data_Denmark","Unemployment data_Finland","Unemployment data_France","Unemployment data_Germany","Unemployment data_Italy","Unemployment data_Netherlands","Unemployment data_Spain","Unemployment data_Sweden"
"1",2005-01-01,1.5,4.1,0.5,4.8,-1.8,8.8,-8.7,6,714258,83063.3,670259,748731,224194,1903936,247691,2017603,193272,18470,218640.8,274554,127417.1,62371,101453,318111,2722.52,2357.6,26237.3,38915,24168.4,8263,19385.9,4293.3,181641.7,19135,235656.9,319023,214262.7,64936,134029,324462,-0.4,1,0.3,0.2,-0.2,0.3,0.9,0.3,10009.3,7951,88287,91887,76383.7,27238,62807,15002.6,46.7,40.2,67.7,66.1,108.2,50,45.1,48.4,12596.6,8216,102614.9,104945,66580.1,29185,37067,19185,NA,NA,NA,NA,NA,NA,NA,NA,-0.8,2.3,1.1,-0.3,-1.1,0.3,-0.5,1.6,-4.6,-9,-3.3,7.1,-17.8,-3.6,-60.6,-23.5,4,0.2,1.9,0.7,3.3,0,2.8,1.5,0.8,-0.1,1.6,1.7,2,1.3,3.1,0.5,4,3,6.7,5.4,5,9.6,6,1.4,-1.5,-0.2,-0.5,-1.1,-0.7,-3.1,3.4,-0.9,5.3,9.3,8.7,10.7,7.8,7,10.1,7.9
"2",2005-04-01,4.7,-2.8,-0.2,4.5,-1,6.8,-6.7,5.9,748710,84588.6,681976,781445,230736,1949674,260637,2097779,204310.4,19219,221579.7,283593,140263.5,75433,109418,336534,2818.02,2434.8,26393.5,39155,24435,8377,19714.4,4406.3,191266.5,20837,236761.8,331447,219216.9,67103,133256,351212,2.1,-1.2,0.3,0.6,0.9,0.9,0.9,0.9,11615.1,9315,93564.4,112312,84395.7,29211,68115,18016.4,46.3,40.8,68.1,66.5,110.4,52.2,44,47.1,13022.8,8887,101558.8,106820,68695.1,32114,41734,19921.5,5.2,2.9,4.2,-1.8,NA,1,NA,3.3,2.8,2.2,1.7,1.7,-0.2,1.7,-0.3,3.9,-0.4,-15.8,-3.2,9.2,-17.5,-4.2,-61.7,-22.2,1.3,1.5,1.2,-1.1,1.2,-0.3,3.2,-0.9,1.7,1.2,2,1.4,2.1,1.3,3.5,0.5,8.8,7.7,10.8,9.1,9.6,11.2,9.6,4.3,-0.5,0.5,0,0.1,-0.2,-1.9,3.7,-0.8,5.2,8.9,8.7,11.2,7.9,7.1,9.7,7.7
"3",2005-07-01,4.9,5.2,0.9,3.6,0.2,6,-6.4,7.1,784681,87865.1,703264,801299,238740,2007555,263830,2179016,197177.6,20223,220963.5,288524,130088.7,62208,107353,335199,2798.18,2464,26532.8,39492,24277.9,8408,20060.7,4508.6,187417.6,20390,233282.9,337619,225665.7,67961,131791,344003,-0.1,1.5,0.8,0.8,0.5,1.2,1,1.4,11155.7,10083,91764,113065,77558.6,26789,65812,15630.2,42.5,40.2,67.8,67.1,108.7,50.5,42.9,47.2,13026.4,8618,101096.3,108093,65402.3,29407,36445,18965.2,7.7,1.6,4.7,2.1,NA,1.5,NA,3.9,1.2,1.8,1.2,1.5,1.6,2,-1.1,3.3,1.8,-12.1,-3.9,10.6,-17.3,-9.8,-64.6,-20.8,0.8,3.1,1.8,-1.4,0.1,-0.4,3.2,-0.1,1.9,0.9,1.8,1.9,2.2,1.5,3.3,0.7,9,7.9,12.1,11.6,9.8,12.1,11.5,6.8,0.9,-0.9,-0.3,-0.1,-0.4,-1.7,2.5,-1.2,5,8.4,8.9,11.2,7.6,7,8.8,8.2
"4",2005-10-01,4.9,5.7,-0.7,5.7,-0.9,6.6,-7,5.2,808470,90199,772998,844891,264697,2102000,282503,2345233,205244.3,19483,238089.6,321762,168965.9,65899,117221,336968,2793.97,2419.2,26489.9,39726,24344.6,8335,20072.2,4395.2,202941.8,21375,251385.5,346364,223400.2,67616,140811,366211,0.5,0.3,0.7,0.4,0.5,0.7,1,0.3,12396.1,10394,100912.5,119142,86562.6,29114,72685,19127.1,39.4,42.1,68.2,67.1,106.2,49.6,42.4,48.9,13579.6,9529,104716.4,120468,94635.4,32695,44800,20395.4,6.6,2.2,1.9,-2.8,NA,0.4,NA,2.6,0.5,-1.1,0.8,1.1,0.7,1.5,-0.8,2.6,3.8,-14,-2,13,-15.3,-5,-63.7,-17.2,3.1,3.5,2.6,-1.1,4.1,-0.3,3.5,1.5,1.9,0.8,2,2.4,2.5,1.5,3.5,0.9,9,8.9,11.6,12.6,12.4,12.5,11.3,6.8,0.9,-1,0.5,0.1,0.2,-0.7,2.9,-1.3,4.3,7.8,9.1,11,7.9,6.9,8.6,8.1
"5",2006-01-01,2.4,4.1,0.4,5,-3.2,11.6,-10.1,9.6,836729,92086,794962,869503,271408,2211032,329373,2284925,203724.2,19550,225934.6,276676,134323,63548,110498,333100,2786.34,2407.6,26465.5,38947,24513.5,8402,20293.8,4347.4,195558.5,20299,248291.6,328643,224054.5,66892,145368,337874,1,2.5,0.8,1.1,0.3,0.6,1.2,1.7,11639.8,8782,95895.1,99532,81811.2,28947,70622,15895.7,36.3,38.8,68,67.2,108.4,49,41.6,45.5,13350.4,8675,103788.3,107989,68153.2,32249,39568,19435.9,7.1,1.2,2.2,1.5,NA,1.1,3.7,3.5,2.2,2.3,2.1,4.2,1.4,2.1,0,4.4,1.8,-24.9,-3.8,3.4,-16.5,-8.9,-64.5,-20.4,0.6,1.4,0.4,-3.2,2,-1.4,3.4,-0.8,2,1.2,2.2,2.1,2.2,1.7,4.2,1.2,10.4,10.8,11.8,15.5,10.9,11.5,14.8,8.8,1,-0.4,1.2,0.9,1,1.2,4.6,-0.5,4.1,8.3,9.2,10.6,7.4,6.5,8.8,7.9
"6",2006-04-01,3.2,1.3,-0.5,5,-1.4,9,-7.4,6.6,837690,93037,820475,873862,277637,2366970,343438,2311095,217372.9,20200,232096.1,288532,148311.6,77626,118594,351965,2868.82,2480,26656.4,39443,24933.8,8514,20546.2,4475.8,202690.4,21852,249065.1,338716,228638.9,69420,144017,363759,3,0.2,1.2,1.7,0.4,1.6,0.9,1.5,13837.1,9607,100070.9,120353,88000.5,31241,76687,20055.7,36.3,41,67.1,67.2,109.5,48.4,40.4,44.4,13701.2,9215,106123.1,108178,73787.1,35307,45042,20650.7,6.1,2.3,3.1,0.4,NA,1.3,4.3,2.9,1.8,1.8,1.5,2,-0.6,2,-0.4,2.1,-1.7,-17.2,-6.5,8.3,-15.4,-6.1,-65.1,-19.8,2.6,1.8,2.2,-0.9,3.7,-0.4,4.1,0.9,1.9,1.5,2,2.2,2.4,1.8,3.9,1.8,7.5,8.9,9.3,12.7,9.3,10.1,12.2,9.3,1.3,0.8,0.9,0.9,1,1.3,3.5,-0.3,4.2,7.7,9,10.3,7.1,6.2,8.6,7.9
"7",2006-07-01,4.7,6.5,1,4.4,-0.4,7.9,-8.3,8.4,873422,95796,828850,910610,289198,2451263,362874,2336987,207033.6,21038,229453.6,295932,138140.9,63799,115954,353892,2859.24,2522,26849.5,39892,24813.2,8578,20826.5,4613.7,194110.8,21475,245505.7,345819,234665.7,69686,141566,354585,-0.7,1,0.1,0.8,0.3,0.5,0.9,1,13359.4,10428,98570.3,122420,79799.2,29284,72846,17530.6,36,38,67,67.3,108.6,47.3,40.1,44.4,13644.2,8977,103789.8,109331,67808.5,32623,39662,20600.6,2,0.7,3.1,-1.4,NA,1.2,3.3,2.7,1.8,1.4,1.4,2.5,-1,1.3,-0.1,1.8,1.4,-14.6,-7.3,10,-18.7,-9.9,-68.7,-10.4,0.8,0.3,1.2,-0.9,5,-0.6,3.6,1.4,2,1.3,2.2,2.1,2.4,1.8,4,1.7,6.4,8.8,7.8,10.1,10.5,9.4,10,6.5,2.4,0.9,2.1,2,2.1,1.3,5,1.7,3.8,7.6,9,10,6.6,6,8.3,7.1
"8",2006-10-01,2.4,3.9,0.1,8.6,-1,7.8,-9.4,8.2,825855,91634,868023,938463,306306,2511779,368584,2486729,219685.5,20550,249841.5,329209,171325.8,69779,126912,353781,2869.32,2448,26837.8,40149,24894.3,8610,20841.9,4501.8,209590,22500,261448.4,356821,231507.4,68714,150559,380535,-0.1,0.8,0.5,1.5,1.4,0.9,0.9,1.1,13749.7,10541,109701.5,129888,92377.6,33360,81795,22580.3,33.2,40.2,65.4,66.4,106.3,45,39,43.8,14006.4,9968,109486.3,122254,95208.2,36137,49283,22197.6,-1,1.5,0.8,0.9,NA,0.9,2.6,0.6,0.4,3,1.5,3.8,-0.5,0,0.2,2.7,-0.3,-14.7,-4.8,13.3,-19.9,-1.9,-73,-9.8,3.6,1.2,2,-2.5,-0.3,2.6,3.3,0,1.4,1,1.2,1,1.9,1.4,2.6,1.2,-1.2,-4.5,-1.6,-0.1,1.5,2.2,-1.9,3.5,3.2,3,2.2,3,2.9,1.7,4.5,2,3.5,7.7,8.5,9.7,6.7,5.9,8.2,6.7
"9",2007-01-01,-2.6,2.7,1.1,6.6,-2.8,10.2,-10.3,9.9,855451,93088,868055,977814,329726,2577079,374774,2491826,217506.1,20712,235515.8,284965,139216.6,67249,119538,359677,2881.9,2432,26868.6,39718,24741,8634,21022.8,4473.5,200636.8,21579,258012.5,334058,231447.1,69422,155932,355665,0.4,2,1.1,0.1,-0.2,1.1,0.9,0.4,13383.6,9709,104119.7,112814,86974.9,33108,76645,18550.9,32.5,37.6,66.6,65.6,107,45.2,39,42,13825.2,9219,106720.2,109841,69313.3,34372,42893,20573.8,0.4,2.2,0.8,-3.6,NA,1.3,2.4,3.8,-0.8,3.2,1.1,2,1,0.7,-0.1,1.1,-4.8,-17.9,-5,12.7,-21.4,-7.6,-77.5,-16.7,3.8,1.6,1.5,-1.1,1.2,2.5,4,3.8,1.8,1.3,1.4,1.7,1.9,1.2,2.4,1.6,-0.1,-1.5,-0.3,1.5,3,1.9,-1.2,2.5,5.3,3,1.7,2.6,3,1.2,2.3,2.3,4.1,7.2,8.5,9.2,6.3,5.7,8.3,6.5
"10",2007-04-01,1.8,0.1,-0.8,5.9,-1,6.3,-7.9,6.9,892278,97357,903784,1015956,331695,2680126,410765,2620589,230571.3,21252,242158,297427,152812.4,81416,128098,379374,2937.66,2544.4,27073.3,40137,25181.5,8789,21239.7,4597.4,206613.7,22899,259193.3,344851,237439.5,71694,153227,384089,-1.1,1.7,0.6,0.7,0.3,0.6,0.9,1,13863.9,11270,107664.7,126292,93197.2,34034,82211,22262.1,31.6,37.8,67.6,65.6,107,45.4,38.4,40.1,14013.3,9620,109979.8,110602,72974.1,37563,49290,21736.5,1.3,1.7,1.8,2.1,NA,0.9,2.9,6.1,-3.9,3,0.7,1.2,1,0.1,0.2,0.9,-4.2,-24.8,-10.4,10.5,-23,-19.6,-78.9,-11.4,7.6,-0.6,1.9,0,0.9,1.6,3.6,4.3,1.6,1.5,1.3,2.1,1.8,1.9,2.5,1.6,-2,-1.2,-0.4,1.8,-0.1,3.6,-1.4,0.7,5.4,3,1.1,2.7,2.8,1.3,3.2,3,3.5,6.5,8.2,8.8,5.8,5.3,8,6.2
