"","time","Current account_Denmark","Current account_Germany","Current account_Spain","Current account_France","Current account_Italy","Current account_Netherlands","Current account_Finland","Current account_Sweden","Direct investment_Denmark","Direct investment_Germany","Direct investment_Spain","Direct investment_France","Direct investment_Italy","Direct investment_Netherlands","Direct investment_Finland","Direct investment_Sweden","Employees Compensation_Denmark","Employees Compensation_Germany","Employees Compensation_Spain","Employees Compensation_France","Employees Compensation_Italy","Employees Compensation_Netherlands","Employees Compensation_Finland","Employees Compensation_Sweden","Totlat employment_Denmark","Totlat employment_Germany","Totlat employment_Spain","Totlat employment_France","Totlat employment_Italy","Totlat employment_Netherlands","Totlat employment_Finland","Totlat employment_Sweden","Final consumption expenditure households_Denmark","Final consumption expenditure households_Germany","Final consumption expenditure households_Spain","Final consumption expenditure households_France","Final consumption expenditure households_Italy","Final consumption expenditure households_Netherlands","Final consumption expenditure households_Finland","Final consumption expenditure households_Sweden","Change in GDP_Denmark","Change in GDP_Germany","Change in GDP_Spain","Change in GDP_France","Change in GDP_Italy","Change in GDP_Netherlands","Change in GDP_Finland","Change in GDP_Sweden","Gross fixed capital formation_Denmark","Gross fixed capital formation_Germany","Gross fixed capital formation_Spain","Gross fixed capital formation_France","Gross fixed capital formation_Italy","Gross fixed capital formation_Netherlands","Gross fixed capital formation_Finland","Gross fixed capital formation_Sweden","Government debt to gdp_Denmark","Government debt to gdp_Germany","Government debt to gdp_Spain","Government debt to gdp_France","Government debt to gdp_Italy","Government debt to gdp_Netherlands","Government debt to gdp_Finland","Government debt to gdp_Sweden","Government expenditure_Denmark","Government expenditure_Germany","Government expenditure_Spain","Government expenditure_France","Government expenditure_Italy","Government expenditure_Netherlands","Government expenditure_Finland","Government expenditure_Sweden","Change in Housing prices_Denmark","Change in Housing prices_Germany","Change in Housing prices_Spain","Change in Housing prices_France","Change in Housing prices_Italy","Change in Housing prices_Netherlands","Change in Housing prices_Finland","Change in Housing prices_Sweden","Labour productivity_Denmark","Labour productivity_Germany","Labour productivity_Spain","Labour productivity_France","Labour productivity_Italy","Labour productivity_Netherlands","Labour productivity_Finland","Labour productivity_Sweden","Net international investment_Denmark","Net international investment_Germany","Net international investment_Spain","Net international investment_France","Net international investment_Italy","Net international investment_Netherlands","Net international investment_Finland","Net international investment_Sweden","Nominal unit labour cost_Denmark","Nominal unit labour cost_Germany","Nominal unit labour cost_Spain","Nominal unit labour cost_France","Nominal unit labour cost_Italy","Nominal unit labour cost_Netherlands","Nominal unit labour cost_Finland","Nominal unit labour cost_Sweden"
"1",2005-01-01,1.5,4.8,-8.7,0.5,-1.8,8.8,4.1,6,714258,748731,247691,670259,224194,1903936,83063.3,2017603,193272,274554,101453,218579.3,127417.1,62371,18470,318111,2722.52,38915,19385.9,26236,24168.4,8263,2357.6,4293.3,181641.7,319023,134029,235635.5,214262.7,64936,19135,324392,-0.4,0.2,0.9,0.3,-0.2,0.3,1,0.4,10009.3,91887,62807,88543.1,76383.7,27238,7951,15002.6,46.7,66.1,45.1,67.7,108.2,50,40.2,48.4,12596.6,104945,37067,102616.4,66580.1,29185,8216,19185,75.49,84.2,NA,79.81,NA,104.59,73.62,49.47,1,2.4,2,0.4,-0.1,2.4,5.2,4.6,-4.6,7.1,-60.6,-3.3,-17.8,-3.6,-9,-23.5,4,1,2.6,1.9,4.1,0.4,0.5,1.8
"2",2005-04-01,4.7,4.5,-6.7,-0.2,-1,6.8,-2.8,5.9,748710,781445,260637,681976,230736,1949674,84588.6,2097779,204310.4,283593,109418,221595,140263.5,75433,19219,336534,2818.02,39155,19714.4,26392.8,24435,8377,2434.8,4406.3,191266.5,331447,133256,236577.2,219216.9,67103,20837,351113,2.1,0.6,0.9,0.2,0.9,0.9,-1.2,0.8,11615.1,112312,68115,93567.5,84395.7,29211,9315,18016.4,46.3,66.5,44,68.1,110.4,52.2,40.8,47.1,13022.8,106820,41734,101512.9,68695.1,32114,8887,19921.5,79.45,82.7,NA,83.19,NA,105.68,75.74,51.12,0.3,0.9,-1.1,1.4,-0.5,0.7,1.5,1.6,-0.4,9.2,-61.7,-3.2,-17.5,-4.2,-15.8,-22.2,1.1,-1.2,3.3,1.1,1.7,0,1.8,-0.7
"3",2005-07-01,4.9,3.6,-6.4,0.9,0.2,6,5.2,7.1,784681,801299,263830,703264,238740,2007555,87865.1,2179016,197177.6,288524,107353,220991.1,130088.7,62208,20223,335199,2798.18,39492,20060.7,26534.3,24277.9,8408,2464,4508.6,187417.6,337619,131791,233168.7,225665.7,67961,20390,343923,-0.1,0.8,1,0.8,0.5,1.2,1.5,1.5,11155.7,113065,65812,92176.5,77558.6,26789,10083,15630.2,42.5,67.1,42.9,67.8,108.7,50.5,40.2,47.2,13026.4,108093,36445,101050.3,65402.3,29407,8618,18965.2,85.55,84.4,NA,87.1,NA,107.22,76.97,53.09,3,1.9,-0.2,1.2,1.6,2.3,0.9,3.3,1.8,10.6,-64.6,-3.9,-17.3,-9.8,-12.1,-20.8,0.1,-1.5,3.2,1.7,0.5,-0.4,2.8,0.3
"4",2005-10-01,4.9,5.7,-7,-0.7,-0.9,6.6,5.7,5.2,808470,844891,282503,772998,264697,2102000,90199,2345233,205244.3,321762,117221,238108.2,168965.9,65899,19483,336968,2793.97,39726,20072.2,26490.4,24344.6,8335,2419.2,4395.2,202941.8,346364,140811,251705.7,223400.2,67616,21375,366407,0.5,0.4,1,0.7,0.5,0.7,0.3,0.2,12396.1,119142,72685,100240.8,86562.6,29114,10394,19127.8,39.4,67.1,42.4,68.2,106.2,49.6,42.1,48.9,13579.6,120468,44800,104806.9,94635.4,32695,9529,20395.4,91.18,82,123.7,88.77,NA,107.7,78.67,54.48,1.3,1.8,0.6,1.4,0.8,3.8,0.2,2.2,3.8,13,-63.7,-2,-15.3,-5,-14,-17.2,2.5,-1.1,3.8,2.6,4.5,0.6,3.3,1.8
"5",2006-01-01,2.4,5,-10.1,0.4,-3.2,11.6,4.1,9.6,836729,869503,329373,794962,271408,2211032,92086,2284925,203724.2,276676,110498,225911.1,134323,63548,19550,333100,2786.34,38947,20293.8,26463.2,24513.5,8402,2407.6,4347.4,195558.5,328643,145368,248290.3,224054.5,66892,20299,337370,1,1.1,1.2,0.9,0.3,0.6,2.5,1.8,11639.8,99532,70622,95989,81811.2,28947,8782,15895.7,36.3,67.2,41.6,68,108.4,49,38.8,45.5,13350.4,107989,39568,102153.4,68153.2,32249,8675,19435.9,97.67,83.2,128.3,90.75,NA,108.87,79.6,56.39,-1.5,0.5,-1.8,2.8,-0.1,-0.6,-2.1,0.5,1.8,3.4,-64.5,-3.8,-16.5,-8.9,-24.9,-20.4,0,-3.8,3.5,0.8,1.3,-1.6,0.8,-1.2
"6",2006-04-01,3.2,5,-7.4,-0.5,-1.4,9,1.3,6.6,837690,873862,343438,820475,277637,2366970,93037,2311095,217372.9,288532,118594,232095.1,148311.6,77626,20200,351965,2868.82,39443,20546.2,26655.3,24933.8,8514,2480,4475.8,202690.4,338716,144017,248890.9,228638.9,69420,21852,363536,3,1.7,0.9,1.2,0.4,1.6,0.2,1.6,13837.1,120353,76687,100139.8,88000.5,31241,9607,20055.7,36.3,67.2,40.4,67.1,109.5,48.4,41,44.4,13701.2,108178,45042,106619.1,73787.1,35307,9215,20650.7,103.63,83.5,133.79,93.57,NA,110.28,81.41,58,4.9,1.9,2.5,2.7,0.8,3.5,4.2,5.6,-1.7,8.3,-65.1,-6.5,-15.4,-6.1,-17.2,-19.8,2.8,-1.2,4.2,2.2,3.5,0,1.5,0.5
"7",2006-07-01,4.7,4.4,-8.3,1,-0.4,7.9,6.5,8.4,873422,910610,362874,828850,289198,2451263,95796,2336987,207033.6,295932,115954,229479.8,138140.9,63799,21038,353892,2859.24,39892,20826.5,26851.6,24813.2,8578,2522,4613.7,194110.8,345819,141566,245421.7,234665.7,69686,21475,354574,-0.7,0.8,0.9,0.1,0.3,0.5,1,0.9,13359.4,122420,72846,99096,79799.2,29284,10428,17530.6,36,67.3,40.1,67,108.6,47.3,38,44.4,13644.2,109331,39662,103407.3,67808.5,32623,8977,20600.6,105.66,82.3,138.16,96.46,NA,111.55,81.98,59.54,3.2,1.7,-0.3,2.5,-1.4,2.1,2.5,2.1,1.4,10,-68.7,-7.3,-18.7,-9.9,-14.6,-10.4,0.9,-1.2,3.6,1.4,5.1,0.1,0.5,1.1
"8",2006-10-01,2.4,8.6,-9.4,0.1,-1,7.8,3.9,8.2,825855,938463,368584,868023,306306,2511779,91634,2486729,219685.5,329209,126912,249839.9,171325.8,69779,20550,353781,2869.32,40149,20841.9,26839.1,24894.3,8610,2448,4501.8,209590,356821,150559,261707.9,231507.4,68714,22500,381217,-0.1,1.5,0.9,0.5,1.4,0.9,0.8,0.9,13749.7,129888,81795,109013,92377.6,33360,10541,22581.1,33.2,66.4,39,65.4,106.3,45,40.2,43.8,14006.4,122254,49283,111007.6,95208.2,36137,9968,22197.6,104.58,83,141.74,97.26,NA,112.56,83.23,59.9,-1.4,2.6,1.7,2.5,-0.3,1.6,5.2,3.2,-0.3,13.3,-73,-4.8,-19.9,-1.9,-14.7,-9.8,3.6,-2.8,3.6,1.8,-0.3,3.1,1.3,0
"9",2007-01-01,-2.6,6.6,-10.3,1.1,-2.8,10.2,2.7,9.9,855451,977814,374774,868055,329726,2577079,93088,2491826,217506.1,284965,119538,235458.3,139216.6,67249,20712,359677,2881.9,39718,21022.8,26867.3,24741,8634,2432,4473.5,200636.8,334058,155932,258015.9,231447.1,69422,21579,355297,0.4,0.1,0.9,1,-0.2,1.1,2,0.5,13383.6,112814,76645,104204.9,86974.9,33108,9709,18550.9,32.5,65.6,39,66.6,107,45.2,37.6,42,13825.2,109841,42893,105770.5,69313.3,34372,9219,20573.8,105.01,80,145.14,98.02,NA,114.01,85.08,62.19,0.9,1.8,1.3,0.2,0.2,1.4,3.7,0.7,-4.8,12.7,-77.5,-5,-21.4,-7.6,-17.9,-16.7,3.3,-1.3,4.1,1.3,1.8,3.1,1.5,3.9
"10",2007-04-01,1.8,5.9,-7.9,-0.8,-1,6.3,0.1,6.9,892278,1015956,410765,903784,331695,2680126,97357,2620589,230571.3,297427,128098,242169.4,152812.4,81416,21252,379374,2937.66,40137,21239.7,27072,25181.5,8789,2544.4,4597.4,206613.7,344851,153227,259102.7,237439.5,71694,22899,384202,-1.1,0.7,0.9,0.7,0.3,0.6,1.7,1.1,13863.9,126292,82211,107773.4,93197.2,34034,11270,22262.1,31.6,65.6,38.4,67.6,107,45.4,37.8,40.1,14013.3,110602,49290,110133.7,72974.1,37563,9620,21736.5,106.4,81.7,149.29,99.74,NA,115.06,86.56,65.98,-3.6,0.8,0.7,-0.9,0.7,0.4,2.6,-0.3,-4.2,10.5,-78.9,-10.4,-23,-19.6,-24.8,-11.4,7,-0.2,3.8,1.8,1.3,1.9,-0.6,4.4
