"","time","Current account_Denmark","Current account_Germany","Current account_Spain","Current account_France","Current account_Italy","Current account_Netherlands","Current account_Finland","Current account_Sweden","Direct investment_Denmark","Direct investment_Germany","Direct investment_Spain","Direct investment_France","Direct investment_Italy","Direct investment_Netherlands","Direct investment_Finland","Direct investment_Sweden","Employees Compensation_Denmark","Employees Compensation_Germany","Employees Compensation_Spain","Employees Compensation_France","Employees Compensation_Italy","Employees Compensation_Netherlands","Employees Compensation_Finland","Employees Compensation_Sweden","Totlat employment_Denmark","Totlat employment_Germany","Totlat employment_Spain","Totlat employment_France","Totlat employment_Italy","Totlat employment_Netherlands","Totlat employment_Finland","Totlat employment_Sweden","Final consumption expenditure households_Denmark","Final consumption expenditure households_Germany","Final consumption expenditure households_Spain","Final consumption expenditure households_France","Final consumption expenditure households_Italy","Final consumption expenditure households_Netherlands","Final consumption expenditure households_Finland","Final consumption expenditure households_Sweden","Change in GDP_Denmark","Change in GDP_Germany","Change in GDP_Spain","Change in GDP_France","Change in GDP_Italy","Change in GDP_Netherlands","Change in GDP_Finland","Change in GDP_Sweden","Gross fixed capital formation_Denmark","Gross fixed capital formation_Germany","Gross fixed capital formation_Spain","Gross fixed capital formation_France","Gross fixed capital formation_Italy","Gross fixed capital formation_Netherlands","Gross fixed capital formation_Finland","Gross fixed capital formation_Sweden","Government debt to gdp_Denmark","Government debt to gdp_Germany","Government debt to gdp_Spain","Government debt to gdp_France","Government debt to gdp_Italy","Government debt to gdp_Netherlands","Government debt to gdp_Finland","Government debt to gdp_Sweden","Government expenditure_Denmark","Government expenditure_Germany","Government expenditure_Spain","Government expenditure_France","Government expenditure_Italy","Government expenditure_Netherlands","Government expenditure_Finland","Government expenditure_Sweden","Change in Housing prices_Denmark","Change in Housing prices_Germany","Change in Housing prices_Spain","Change in Housing prices_France","Change in Housing prices_Italy","Change in Housing prices_Netherlands","Change in Housing prices_Finland","Change in Housing prices_Sweden","Labour productivity_Denmark","Labour productivity_Germany","Labour productivity_Spain","Labour productivity_France","Labour productivity_Italy","Labour productivity_Netherlands","Labour productivity_Finland","Labour productivity_Sweden","Net international investment_Denmark","Net international investment_Germany","Net international investment_Spain","Net international investment_France","Net international investment_Italy","Net international investment_Netherlands","Net international investment_Finland","Net international investment_Sweden","Nominal unit labour cost_Denmark","Nominal unit labour cost_Germany","Nominal unit labour cost_Spain","Nominal unit labour cost_France","Nominal unit labour cost_Italy","Nominal unit labour cost_Netherlands","Nominal unit labour cost_Finland","Nominal unit labour cost_Sweden"
"1",2005-01-01,1.5,4.8,-8.7,0.5,-1.8,8.8,4.1,6,NA,3.80213113435906,6.87668821250119,5.13817189879891,3.35283352003725,2.64171124147813,5.58446675988306,0.586287162056053,NA,-14.7040548769122,-6.58275169886374,-4.2704236797607,-19.4376440001113,-3.63543662320005,-0.656196213425129,-1.18904512966742,NA,-1.81657625835751,0.915143596337359,-0.105843876474863,-0.603328795686619,0.0121036068748487,-0.338180588434224,-1.94363237712405,NA,-6.44404496227239,2.50235169054047,-2.39677872674055,-0.758682116361827,-0.126118920914208,-6.69039840054615,-7.6461965416637,-0.4,0.2,0.9,0.3,-0.2,0.3,1,0.3,NA,-19.7759695472245,-5.2084276615654,-7.35007397924383,-7.55992036838698,-2.43570456336414,-17.7511120306196,-23.1640675014724,NA,1.69230769230768,-0.44150110375275,1.19581464872944,3.34288443170965,-0.398406374501998,-10.467706013363,-0.616016427104731,NA,-12.0031863156129,-8.31354506777481,2.19345201045687,-23.0357262582102,-7.99180327868853,-8.72125319408955,-6.18444280356191,NA,NA,NA,NA,NA,NA,NA,NA,-0.8,-0.3,-0.5,1.1,-1.1,0.3,2.3,1.6,-4.6,7.1,-60.6,-3.3,-17.8,-3.6,-9,-23.5,4,0.7,2.8,1.9,3.3,0,0.2,1.5
"2",2005-04-01,4.7,4.5,-6.7,-0.2,-1,6.8,-2.8,5.9,4.82346715052544,4.36925945366226,5.2266735569722,1.74813020041506,2.91800851048645,2.40228663148341,1.83631038015586,3.97382438467825,5.71132911130427,3.29224851941695,7.85092604457236,1.34416815159843,10.082163226129,20.9424251655417,4.05522468868435,5.79137470882805,3.50777955717497,0.616728767827316,1.69453056087156,0.595335648104038,1.10309329537743,1.37964419702287,3.27451645741433,2.63200801248457,5.29878326397517,3.89439005965087,-0.576740854591171,0.466184046372288,2.31220833117476,3.33713194529999,8.89469558400836,8.24441691168765,2.1,0.6,0.9,0.3,0.9,0.9,-1.2,0.9,16.0430799356598,22.2283892171907,8.45128727689589,5.96924317553226,10.4891488629119,7.24355679565313,17.1550748333543,20.088517990215,-0.856531049250548,0.605143721633897,-2.43902439024391,0.590841949778422,2.03327171903882,4.40000000000001,1.49253731343282,-2.68595041322313,3.38345267770667,1.78665015007861,12.5907141122832,-1.02928421770696,3.1766248473643,10.0359773856433,8.16699123661149,3.83893666927287,5.2,-1.8,NA,4.2,NA,1,2.9,3.3,2.8,1.7,-0.3,1.7,-0.2,1.7,2.2,3.9,-0.4,9.2,-61.7,-3.2,-17.5,-4.2,-15.8,-22.2,1.3,-1.1,3.2,1.2,1.2,-0.3,1.5,-0.9
"3",2005-07-01,4.9,3.6,-6.4,0.9,0.2,6,5.2,7.1,4.80439689599444,2.54067784680944,1.225075488131,3.12151747275564,3.4688995215311,2.96875272481451,3.87345339679342,3.87252422681322,-3.49115855091077,1.73875941930866,-1.88725803798278,-0.278094067281439,-7.25406110641757,-17.5321145917569,5.22399708621677,-0.396690973274617,-0.70404042554702,0.860681905248372,1.75658401980278,0.528160342508578,-0.642930223040714,0.370060880983646,1.19927714802036,2.32167578240247,-2.01232311983541,1.86213783802539,-1.099387644834,-1.46534457751126,2.94174399875193,1.27863135776344,-2.14522244085041,-2.05260640297029,-0.1,0.8,1,0.8,0.5,1.2,1.5,1.4,-3.95519625315322,0.670453736021084,-3.38104675915731,-1.92907452732383,-8.10124212489498,-8.29139707644381,8.24476650563607,-13.244599365023,-8.20734341252699,0.902255639097736,-2.5,-0.440528634361229,-1.53985507246377,-3.25670498084292,-1.4705882352941,0.212314225053082,0.0276438246767236,1.19172439618049,-12.6731202376959,-0.455401206000859,-4.79335498456222,-8.42934545681011,-3.02689321480815,-4.80034133975855,7.7,2.1,NA,4.7,NA,1.5,1.6,3.9,1.2,1.5,-1.1,1.2,1.6,2,1.8,3.3,1.8,10.6,-64.6,-3.9,-17.3,-9.8,-12.1,-20.8,0.8,-1.4,3.2,1.8,0.1,-0.4,3.1,-0.1
"4",2005-10-01,4.9,5.7,-7,-0.7,-0.9,6.6,5.7,5.2,3.03167784105898,5.44016652959757,7.07766364704545,9.91576420803567,10.8724972773729,4.70447883121509,2.65623097225177,7.62807615914706,4.09108336849621,11.520012200025,9.19210455227148,7.75064660000408,29.8851475954483,5.93332047325103,-3.65919992088216,0.52774620449345,-0.150454938567213,0.592525068368277,0.0573260155428275,-0.16206294826423,0.274735458997677,-0.868220742150333,-1.81818181818183,-2.51519318635498,8.28321352957245,2.59019782654412,6.84416993573158,7.75781622060009,-1.00391862830727,-0.50764408999279,4.83079941147621,6.45575765327628,0.5,0.4,1,0.7,0.5,0.7,0.3,0.3,11.1189795351255,5.37478441604387,10.443384185255,9.97851960753328,11.60928639764,8.67893538392624,3.08439948428047,22.3727143606608,-7.29411764705883,0,-1.16550116550117,0.589970501474935,-2.29990800367985,-1.78217821782178,4.72636815920398,3.60169491525423,4.24676042498312,11.4484749243707,22.9249554122651,3.5808432158249,44.6973577381835,11.1810113238345,10.5708981202135,7.54118068884062,6.6,-2.8,NA,1.9,NA,0.4,2.2,2.6,0.5,1.1,-0.8,0.8,0.7,1.5,-1.1,2.6,3.8,13,-63.7,-2,-15.3,-5,-14,-17.2,3.1,-1.1,3.5,2.6,4.1,-0.3,3.5,1.5
"5",2006-01-01,2.4,5,-10.1,0.4,-3.2,11.6,4.1,9.6,3.49536779348646,2.91303848662135,16.5909742551407,2.8414045055744,2.53535174180289,5.18705994291151,2.09204093171765,-2.57151421628469,-0.740629581430508,-14.0122202124552,-5.73532046305696,-5.10522089163071,-20.5028943709944,-3.56758069166452,0.343889544731304,-1.14788347854989,-0.27308811476142,-1.96093238684992,1.10401450762746,-0.0924880803627043,0.693788355528542,0.803839232153569,-0.479497354497351,-1.08755005460503,-3.63813664804392,-5.11629384116132,3.23625284956431,-1.23101867929429,0.292882459371114,-1.07075248461903,-5.03391812865497,-7.73788881273364,1,1.1,1.2,0.8,0.3,0.6,2.5,1.7,-6.10111244665662,-16.4593510265062,-2.83827474719681,-4.96847817254657,-5.48897560840364,-0.573607199285567,-15.5089474696941,-16.894354083996,-7.86802030456853,0.149031296572293,-1.88679245283018,-0.293255131964814,2.07156308851224,-1.20967741935484,-7.83847980997626,-6.95296523517382,-1.68782585643171,-10.3587674735199,-11.6785714285714,-0.886203116226303,-27.9833973333446,-1.36412295458021,-8.9621156469724,-4.70449218941526,7.1,1.5,3.7,2.2,NA,1.1,1.2,3.5,2.2,4.2,0,2.1,1.4,2.1,2.3,4.4,1.8,3.4,-64.5,-3.8,-16.5,-8.9,-24.9,-20.4,0.6,-3.2,3.4,0.4,2,-1.4,1.4,-0.8
"6",2006-04-01,3.2,5,-7.4,-0.5,-1.4,9,1.3,6.6,0.114852001066056,0.501320869508213,4.27023465797136,3.20933579215107,2.29506867888935,7.05272470050185,1.03273027387442,1.1453329978008,6.69959680784118,4.28515664531799,7.32682944487683,2.72711660808039,10.4141509644663,22.153332913703,3.32480818414322,5.66346442509757,2.96015561632823,1.27352556037692,1.24372961199973,0.721697008169157,1.71456544353111,1.33301594858367,3.00714404386111,2.95348944196533,3.64693940687825,3.06502800911628,-0.929365472456111,0.311771645091812,2.04610931715274,3.77922621539198,7.65062318340805,7.66113995157958,3,1.7,0.9,1.2,0.4,1.6,0.2,1.5,18.8774721215141,20.9189004541253,8.58797541842485,4.34659745589951,7.56534557615583,7.92482813417625,9.39421544067411,26.1705995961172,0,0,-2.88461538461539,-1.32352941176471,1.01476014760147,-1.22448979591837,5.67010309278351,-2.41758241758242,2.62763662511985,0.175017825889674,13.8344116457744,2.24938432425975,8.26652306861601,9.48246457254488,6.22478386167147,6.25028941289058,6.1,0.4,4.3,3.1,NA,1.3,2.3,2.9,1.8,2,-0.4,1.5,-0.6,2,1.8,2.1,-1.7,8.3,-65.1,-6.5,-15.4,-6.1,-17.2,-19.8,2.6,-0.9,4.1,2.2,3.7,-0.4,1.8,0.9
"7",2006-07-01,4.7,4.4,-8.3,1,-0.4,7.9,6.5,8.4,4.26553975814442,4.20524064440381,5.65924562803184,1.02075017520339,4.16407035085381,3.56121961833061,2.96548684931801,1.12033473310271,-4.75648068365467,2.56470686093744,-2.2260822638582,-1.1385370111777,-6.85765644764133,-17.8123309200526,4.14851485148515,0.547497620502039,-0.333935206809782,1.13835154526785,1.36424253633275,0.724779039930362,-0.483680786723237,0.751703077284473,1.69354838709677,3.08101345010947,-4.23285957302369,2.09703704578467,-1.70188241665914,-1.42774089313303,2.63594690142404,0.3831748775569,-1.72524254072854,-2.52199945568357,-0.7,0.8,0.9,0.1,0.3,0.5,1,1,-3.45231298465719,1.71744784093458,-5.00867161318085,-1.50356704943703,-9.31960613860149,-6.26420409077814,8.54585198292911,-12.5904356367517,-0.826446280991728,0.148809523809515,-0.742574257425736,-0.149031296572272,-0.821917808219183,-2.27272727272728,-7.31707317073171,0,-0.416021954281377,1.06583593706669,-11.9444074419431,-2.19867512226379,-8.10250030154323,-7.60189197609539,-2.58274552360282,-0.242606788147628,2,-1.4,3.3,3.1,NA,1.2,0.7,2.7,1.8,2.5,-0.1,1.4,-1,1.3,1.4,1.8,1.4,10,-68.7,-7.3,-18.7,-9.9,-14.6,-10.4,0.8,-0.9,3.6,1.2,5,-0.6,0.3,1.4
"8",2006-10-01,2.4,8.6,-9.4,0.1,-1,7.8,3.9,8.2,-5.44605013384137,3.05871888075027,1.57354894536396,4.72618688544369,5.91567023285085,2.46876814115825,-4.34464904588918,6.40748108568854,6.1110370490587,11.2448129975805,9.45029925660176,8.88541299853216,24.022501663157,9.3731876675183,-2.31961213043065,-0.0313655013393917,0.352541234733719,0.644239446505565,0.0739442537152256,-0.043948513199449,0.326842164654291,0.373047330380042,-2.93417922283902,-2.42538526562194,7.97441461268513,3.18143306180401,6.35251402172838,6.49166139869528,-1.34587202134782,-1.39482822948655,4.77299185098952,7.31841448453826,-0.1,1.5,0.9,0.5,1.4,0.9,0.8,1.1,2.92153839244278,6.10031040679628,12.2848200312989,11.3027968601144,15.7625640357297,13.9188635432318,1.08362102032988,28.8050608650018,-7.77777777777777,-1.33729569093609,-2.74314214463841,-2.38805970149253,-2.11786372007366,-4.86257928118393,5.78947368421053,-1.35135135135135,2.65460781870684,11.8200693307479,24.2574756694065,5.48869492830213,40.4074710397664,10.7715415504399,11.0393227136014,7.75220139219246,-1,0.9,2.6,0.8,NA,0.9,1.5,0.6,0.4,3.8,0.2,1.5,-0.5,0,3,2.7,-0.3,13.3,-73,-4.8,-19.9,-1.9,-14.7,-9.8,3.6,-2.5,3.3,2,-0.3,2.6,1.2,0
"9",2007-01-01,-2.6,6.6,-10.3,1.1,-2.8,10.2,2.7,9.9,3.5836799438158,4.19313281397349,1.67940008247781,0.0036865382599309,7.64594882241941,2.59975101312655,1.58674727721152,0.20496805240941,-0.99205455070999,-13.4394867698028,-5.81032526475038,-5.73391530230166,-18.7416022572199,-3.62573267028762,0.788321167883212,1.66656773540693,0.438431405350394,-1.0735012080002,0.867963093575911,0.114763505205342,-0.615803617695614,0.278745644599303,-0.65359477124183,-0.628637433915327,-4.27176869125436,-6.37938910546184,3.56870064227313,-1.31330934371252,-0.0260466836049251,1.03035771458509,-4.09333333333333,-6.53553549607789,0.4,0.1,0.9,1.1,-0.2,1.1,2,0.4,-2.66260354771377,-13.1451712244395,-6.29622837581759,-5.08556614763648,-5.84849573922684,-0.755395683453237,-7.89298927995446,-17.8447584841654,-2.10843373493977,-1.20481927710845,0,1.83486238532108,0.658513640639702,0.444444444444451,-6.46766169154229,-4.10958904109588,-1.29369431117203,-10.1534510118278,-12.9659314570947,-2.52643250668575,-27.1981825094897,-4.88419071865401,-7.51404494382022,-7.31520524741413,0.4,-3.6,2.4,0.8,NA,1.3,2.2,3.8,-0.8,2,-0.1,1.1,1,0.7,3.2,1.1,-4.8,12.7,-77.5,-5,-21.4,-7.6,-17.9,-16.7,3.8,-1.1,4,1.5,1.2,2.5,1.6,3.8
"10",2007-04-01,1.8,5.9,-7.9,-0.8,-1,6.3,0.1,6.9,4.30498064763499,3.90074185888114,9.60338764161868,4.1159834342294,0.597162492493768,3.99859686101978,4.58598315572362,5.1674153813308,6.0068200386104,4.37316863474462,7.16090280914855,2.82027787519989,9.76593308556594,21.066484259989,2.6071842410197,5.47630234905207,1.9348346576911,1.05493730802155,1.03173697128832,0.761855846601612,1.78044541449416,1.79522816770906,4.62171052631579,2.769643455907,2.97896497551796,3.23087607541205,-1.73473052356155,0.456954073596349,2.58910135404591,3.27273774884043,6.11705825107744,7.99179002713227,-1.1,0.7,0.9,0.6,0.3,0.6,1.7,1,3.58872052362592,11.9470987643378,7.26205231913367,3.39724659185309,7.15413297399595,2.79690709194152,16.0778658976208,20.0054983855231,-2.76923076923076,0,-1.53846153846154,1.5015015015015,0,0.442477876106185,0.53191489361701,-4.52380952380952,1.36055897925526,0.692819621088664,14.9138554076423,3.05424553716584,5.28152605632686,9.28371930641219,4.34971255016813,5.65136241238858,1.3,2.1,2.9,1.8,NA,0.9,1.7,6.1,-3.9,1.2,0.2,0.7,1,0.1,3,0.9,-4.2,10.5,-78.9,-10.4,-23,-19.6,-24.8,-11.4,7.6,0,3.6,1.9,0.9,1.6,-0.6,4.3
