iter	RMSE
0	2.34354571
1	2.337212406
2	2.33040608
3	2.323251519
4	2.3179002
5	2.311619391
6	2.306137915
7	2.300964175
8	2.295930129
9	2.29027697
10	2.2833878
11	2.277883946
12	2.272280572
13	2.266418887
14	2.259023058
15	2.252513424
16	2.245245789
17	2.239112303
18	2.232212775
19	2.223405382
20	2.217247131
21	2.210508833
22	2.204642474
23	2.200926464
24	2.195740291
25	2.187368064
26	2.17965215
27	2.173643327
28	2.165866065
29	2.160213889
30	2.152706812
31	2.146207715
32	2.139213096
33	2.133000357
34	2.12698826
35	2.1222099
36	2.114989709
37	2.107543096
38	2.10183545
39	2.096594653
40	2.090186792
41	2.082396505
42	2.077051969
43	2.071506216
44	2.066202131
45	2.061159861
46	2.054611881
47	2.047968254
48	2.04204665
49	2.034911704
