iter	Passed	Remaining
0	115	5658
1	327	7848
2	614	9632
3	802	9232
4	1026	9242
5	1118	8204
6	1249	7676
7	1387	7282
8	1501	6839
9	1649	6598
10	1791	6351
11	1961	6211
12	2062	5868
13	2160	5556
14	2396	5592
15	2546	5411
16	2665	5174
17	2784	4949
18	3023	4932
19	3195	4792
20	3431	4739
21	3507	4464
22	3592	4216
23	3672	3978
24	3774	3774
25	3863	3566
26	3984	3394
27	4091	3214
28	4167	3017
29	4243	2828
30	4321	2648
31	4408	2479
32	4489	2312
33	4607	2168
34	4698	2013
35	4881	1898
36	5097	1791
37	5153	1627
38	5229	1475
39	5314	1328
40	5403	1186
41	5477	1043
42	5547	903
43	5677	774
44	5765	640
45	5862	509
46	5933	378
47	6024	251
48	6175	126
49	6378	0
